presentation_id,evaluator_id,phoneme_identity,naturalness,clarity,voice_quality,target_similarity,notes
P01,evaluator-1,2,2,4,2,2,初期PCM音源のオーボエやリードオルガンに近い
P02,evaluator-1,2,2,4,2,2,P01と同じように聴こえる。わずかに「あ」より「わ」に近く感じる。
P03,evaluator-1,1,2,3,2,2,初期PCM音源のサックスに近い。わずかに「あ」より「え」に近く感じる。
P04,evaluator-1,1,2,3,2,2,オルガンの倍音を足されたような効果を感じる。「あ」より「わ」に近く感じる
P05,evaluator-1,2,2,3,2,2,P03に非常に近い。わずかに高音成分が強く感じる。
P06,evaluator-1,2,2,3,2,2,P05に近い。わずかに落ち着いて聞こえる。
P07,evaluator-1,1,1,2,2,1,成分的に大きな差異はないのかもしれないが、他の6つより音程が低く感じるため、機械的に感じてしまう。
