comparison_id,label,mode,generated_path,reference_path,sample_rate,generated_source_rate,reference_source_rate,generated_duration_sec,reference_duration_sec,duration_delta_ms,generated_rms_db,reference_rms_db,rms_delta_db,generated_peak_db,reference_peak_db,peak_delta_db,generated_zero_crossing_rate,reference_zero_crossing_rate,zero_crossing_delta,alignment_lag_samples,alignment_lag_ms,aligned_duration_sec,waveform_rmse,normalized_cross_correlation,snr_db,log_spectral_distance_db,spectral_convergence,generated_spectral_centroid_hz,reference_spectral_centroid_hz,spectral_centroid_delta_hz,generated_spectral_rolloff95_hz,reference_spectral_rolloff95_hz,spectral_rolloff95_delta_hz,generated_spectral_slope_db_per_khz,reference_spectral_slope_db_per_khz,spectral_slope_delta_db_per_khz,generated_peak_frequency_hz,reference_peak_frequency_hz,peak_frequency_delta_hz,generated_spectral_flatness,reference_spectral_flatness,spectral_flatness_delta,generated_low_band_ratio,reference_low_band_ratio,low_band_ratio_delta,generated_mid_band_ratio,reference_mid_band_ratio,mid_band_ratio_delta,generated_high_band_ratio,reference_high_band_ratio,high_band_ratio_delta,generated_air_band_ratio,reference_air_band_ratio,air_band_ratio_delta,generated_noise_band_ratio,reference_noise_band_ratio,noise_band_ratio_delta,frame_log_spectral_distance_db,dtw_log_spectral_distance_db,generated_onset_sec,reference_onset_sec,onset_delta_ms,generated_stable_sec,reference_stable_sec,stable_delta_ms,generated_rms_rise_sec,reference_rms_rise_sec,rms_rise_delta_ms,generated_f0_hz,reference_f0_hz,f0_delta_hz,f0_delta_cents,generated_formant_confidence,reference_formant_confidence,generated_formant_notes,reference_formant_notes,formant_mae_hz,generated_f1_hz,reference_f1_hz,f1_delta_hz,generated_f2_hz,reference_f2_hz,f2_delta_hz,generated_f3_hz,reference_f3_hz,f3_delta_hz,model,preset,notes
selftest_vowel_a,a,vowel,research/data/raw/reference/sample.wav,research/data/raw/reference/sample.wav,44100,16000,16000,0.450000,0.450000,0.000000,-18.339930,-18.339930,0.000000,-14.112403,-14.112403,0.000000,0.009927,0.009927,0.000000,0,0.000000,0.450000,0.000000,1.000000,262.976511,0.000000,0.000000,264.058068,264.058068,0.000000,442.222222,442.222222,0.000000,-5.702938,-5.702938,0.000000,660.000000,660.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,219.402985,219.402985,0.000000,0.000000,0.333333,0.333333,missing_1;missing_2,missing_1;missing_2,0.000000,,,,,,,2674.756270,2674.756270,0.000000,selftest,reference,self comparison
selftest_noise_shi,shi,noise,research/data/raw/reference/utau-samples/maoto/単独音/し.wav,research/data/raw/reference/utau-samples/maoto/単独音/し.wav,44100,44100,44100,0.180000,0.180000,0.000000,-22.039506,-22.039506,0.000000,-8.129831,-8.129831,0.000000,0.242661,0.242661,0.000000,0,0.000000,0.180000,0.000000,1.000000,258.997111,0.000000,0.000000,5747.933908,5747.933908,0.000000,7994.444444,7994.444444,0.000000,-3.031162,-3.031162,0.000000,5222.222222,5222.222222,0.000000,0.133934,0.133934,0.000000,0.008537,0.008537,0.000000,0.016591,0.016591,0.000000,0.924916,0.924916,0.000000,0.049956,0.049956,0.000000,0.974872,0.974872,0.000000,0.000000,0.000000,0.034830,0.034830,0.000000,0.168345,0.168345,0.000000,0.133515,0.133515,0.000000,127.089337,127.089337,0.000000,0.000000,0.000000,0.000000,unsupported_vowel,unsupported_vowel,,,,,,,,,,,selftest,reference,self comparison
selftest_transition_a,a,transition,research/data/raw/reference/sample.wav,research/data/raw/reference/sample.wav,44100,16000,16000,0.999977,0.999977,0.000000,-18.339835,-18.339835,0.000000,-14.112403,-14.112403,0.000000,0.009955,0.009955,0.000000,0,0.000000,0.999977,0.000000,1.000000,266.444287,0.000000,0.000000,264.058068,264.058068,0.000000,441.430664,441.430664,0.000000,-3.518696,-3.518696,0.000000,659.454346,659.454346,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,219.402985,219.402985,0.000000,0.000000,0.333333,0.333333,missing_1;missing_2,missing_1;missing_2,0.000000,,,,,,,2640.128616,2640.128616,0.000000,selftest,reference,self comparison
