sample_id,speaker_id,take_id,boundary_confidence,activity_onset_sec,periodicity_onset_sec,stable_pitch_onset_sec,stable_source_onset_sec,stable_vowel_onset_sec,f0_hz_onset,f0_hz_stable,f0_hz_delta,periodicity_onset,periodicity_stable,periodicity_delta,rms_db_onset,rms_db_stable,rms_db_delta,hnr_db_onset,hnr_db_stable,hnr_db_delta,h1_h2_db_onset,h1_h2_db_stable,h1_h2_db_delta,spectral_slope_db_khz_onset,spectral_slope_db_khz_stable,spectral_slope_db_khz_delta,f1_hz_onset,f1_hz_stable,f1_hz_delta,f2_hz_onset,f2_hz_stable,f2_hz_delta
onset-maoto-modal-a,maoto,modal,1.0,0.395,0.41,0.425,0.425,0.455,500.0,347.82608695652175,203.6819428123776,0.37033685609969313,0.9587477318629012,0.7593739866843254,-66.03298528841366,-13.163573821530775,39.413948345480726,-0.9588716422752175,13.66256558586103,18.815203446664036,3.4853243400203455,5.1674393306305095,2.980030190519898,-3.122444880627505,-4.739627375874742,-2.114532527421625,1058.3954968700166,540.6438484318808,-182.6529589513243,2013.3384504999945,1075.4587356308243,-713.710227011461
onset-maoto-soft-a,maoto,soft,1.0,0.41,0.41,0.42,0.44,0.47,222.22222222222223,340.4255319148936,167.76366141129648,0.2624726158098954,0.9421837631876236,0.7712950193912964,-60.14332233486979,-16.397989634951795,32.26669502511817,-3.5750844565581703,12.120857951345522,17.232476570315374,6.507070974577107,6.433577469054283,4.260455896554694,-2.7999903123858183,-3.267709687870013,-1.0892576140369825,923.6179156031686,943.2057336992164,78.41551554967111,1709.4090944994687,1629.5298730864124,-53.5648351721527
onset-mizuhara-modal-a,水原薫,modal,0.8200000000000001,0.395,0.42,0.455,0.455,0.485,160.9401632726294,326.53061224489795,157.5165277378557,0.294192407665132,0.9550346940976974,0.7745917553481009,-65.98948267581497,-18.104848580126585,39.01731644024179,-3.2816720742957575,13.311712445842375,19.16702692957998,1.4285894266971342,-2.4642981180576298,-8.812722419542215,-3.289305860013644,-3.3121629035041904,0.24278546345324692,969.871316720517,679.9052686622642,-165.39947451398882,1888.755189027379,1084.1875847372532,-681.465639876244
onset-mizuhara-light-a,水原薫,light,1.0,0.365,0.39,0.39,0.845,0.875,424.7787610619469,410.2564102564103,295.697937702711,0.9536254740564252,0.9628168706747138,0.6978549323367724,-22.62150753979861,-26.8712008278332,47.06273598716103,13.671138186586303,14.131977543494056,18.56324090393898,-2.5900987340019417,-1.7762193772596242,-4.893840310805993,-3.0349664839460067,-3.5282899002290335,2.5606356578743226,1203.8952995683017,897.64383303835,-143.19832583094774,1734.7262425883982,1602.678383543624,-264.52947738015337
onset-sanada-modal-a,真田アサミ,modal,1.0,0.405,0.445,0.565,0.565,0.595,295.3874119518291,355.55555555555554,31.23123123123122,0.285584791799495,0.9645423157106752,0.7829544358416505,-63.72117424847083,-16.399227203676073,47.26278309140933,-3.5101737950468244,14.346109166604908,19.12438177838318,-4.442446039621817,-4.846358544906789,10.946223305833207,-2.53121786182168,-2.723527891493891,-1.739708283441594,852.4231813675018,761.6421221412709,-117.24197746074833,1776.2921695444816,1076.507822082479,-960.8089031040579
onset-sanada-boyish-a,真田アサミ,boyish,1.0,0.405,0.435,0.505,0.505,0.535,300.0,345.32374100719426,37.63143331488658,0.27268640864520677,0.9636922099511412,0.7264466694749832,-78.59132325522029,-15.432459350355895,58.53542988932497,-3.750201498277886,14.239385329026142,17.375788000644413,-0.23634443693828316,-10.695657685578045,-17.582610484157396,-2.101230616741918,-1.7016628316593216,1.568828292310776,810.7430807913993,853.1546757989245,-59.143498763366324,1715.7756977987651,3162.077332525,1323.33126985404
