task_id,generated_path,reference_path,profile,label,reference_split,variant
anchor-human-clean,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/human-clean.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,human-clean
anchor-human-noise-20db,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/human-noise-20db.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,human-noise-20db
anchor-human-noise-5db,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/human-noise-5db.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,human-noise-5db
anchor-human-lowpass,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/human-lowpass.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,human-lowpass
anchor-human-pitch-formant-up,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/human-pitch-formant-up.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,human-pitch-formant-up
anchor-web-parallel-formant,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/web-parallel-formant.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,web-parallel-formant
anchor-harmonic-source-only,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/harmonic-source-only.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,harmonic-source-only
anchor-sine-only,research/experiments/comparison-evaluation/results/listening-sessions/calibration-anchors-source/audio/sine-only.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,sine-only
